kampanya_id;banka_adi;banka_kodu;kaynak_url;cekim_tarihi;sema_surumu;kampanya_turu;kampanya_turu__yontem;kampanya_turu__guven;urun_turu;urun_turu__yontem;urun_turu__guven;hedef_kitle;hedef_kitle__yontem;hedef_kitle__guven;kar_payi_orani;kar_payi_orani__yontem;kar_payi_orani__guven;finansman_tutari_max;finansman_tutari_max__yontem;finansman_tutari_max__guven;vade_ay_max;vade_ay_max__yontem;vade_ay_max__guven;taksit_sayisi;taksit_sayisi__yontem;taksit_sayisi__guven;tahsis_ucreti;tahsis_ucreti__yontem;tahsis_ucreti__guven;masraf_bilgisi;masraf_bilgisi__yontem;masraf_bilgisi__guven;masrafsiz_mi;masrafsiz_mi__yontem;masrafsiz_mi__guven;odul_miktari;odul_miktari__yontem;odul_miktari__guven;indirim_orani;indirim_orani__yontem;indirim_orani__guven;alisveris_puani;alisveris_puani__yontem;alisveris_puani__guven;kampanya_avantaji;kampanya_avantaji__yontem;kampanya_avantaji__guven;kampanya_bitis;kampanya_bitis__yontem;kampanya_bitis__guven;kampanya_kosullari;kampanya_kosullari__yontem;kampanya_kosullari__guven
0203-317a69469597;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/enterprise-arac-kiralama-kampanyasi-35-indirim-1;2026-08-24T13:39:07.717079;1.2.0;kart;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;35.0;kural;0.877;;belirtilmemis;0.0;Enterprise online araç kiralamalarında liste fiyatı üzerinden %35 indirim;llm;0.7;2026-12-31;hibrit;0.958;Kampanya, Albaraka Özel Bankacılık Kredi Kartları ile yapılan online araç kiralama rezervasyonlarında geçerlidir. Üyelik girişi yapılmalı, kartın ilk 8 hanesi girilmeli ve ödeme kart sahibi adına olmalıdır. Tek seferde en fazla 27 günlük kiralama yapılabilir. Farklı kampanyalarla birleştirilemez.;llm;0.7
0203-37c07baff56f;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar;2026-08-24T13:35:38.107357;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;yeni_musteri;llm;0.8;0.0;kural;0.8;140000.0;hibrit;0.939;6;kural;0.919;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;500.0;hibrit;0.832;"OFT2026 davet kodu ile yeni müşteri olanlara fatura başına 500 TL, toplam 2.000 TL Worldpuan; yurt dışı çıkış harcı kadar Worldpuan; referans başına 500 TL, toplam 5.000 TL'ye varan Worldpuan; 98/2 paylaşım oranlı Dijital Katılma hesabı; aylık 2 defa ücretsiz İSPARK otopark indirimi; TROY kartlarla sağlık harcamalarında vade farksız 6 taksit; eğitim harcamalarında vade farksız 6 taksit; kırtasiye harcamalarında vade farksız 4 taksit.";llm;0.7;;belirtilmemis;0.0;"Worldpuan kazanımı için 'OFT2026' davet kodu kullanımı ve yeni müşteri olma şartı; sağlık harcamaları için 1.000-100.000 TL arası TROY kart kullanımı; eğitim harcamaları için 30.000-500.000 TL arası tek çekim; kırtasiye harcamaları için 1.000-20.000 TL arası harcama; Dijital Katılma hesabı için 98/2 paylaşım oranı.";llm;0.7
0203-39cb6f7a0fe9;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/togg-tasit-finansmani-kampanyasi;2026-08-20T00:13:11.008772;1.2.0;tasit_finansmani;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;0.0;hibrit;0.918;1700000.0;llm;0.75;48;kural;0.918;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Avantajlı oranlarla taşıt finansmanı imkanı, özel oranlı ödeme planları, sıfır km Togg araçlar için geçerli;llm;0.7;;belirtilmemis;0.0;Sadece sıfır kilometre T10X ve T10F modeli Togg araçlar için geçerlidir. Bireysel müşteriler için uygundur. Başvurular yalnızca şubelerden yapılmaktadır. Proforma fatura tutarına göre %70'e varan finansman oranı uygulanır.;llm;0.7
0203-3c707bd12c98;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/bireysel/finansmanlar/birikimlerinizi-koruyan-bes-teminatli-finansman-albarakada;2026-08-24T13:36:03.161069;1.2.0;ihtiyac_finansmani;llm;0.8;;belirtilmemis;0.0;mevcut_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Standart oranlar üzerinden 20 puan indirim;llm;0.7;;belirtilmemis;0.0;Kampanya sadece Bireysel İhtiyaç Finansmanı ürünleri için geçerlidir. Başvurular sadece Albaraka Türk şubelerinden yapılabilir. Müşterinin kendi adına BES birikimi bulunmalıdır. Finansman onayı kredi skoru, gelir bilgisi ve BES birikim hesabı gibi kriterlere göre değerlendirilir. Nakit destek sağlanmaz, BES birikimi faizsiz fona aktarılır.;llm;0.7
0203-3cbd45442150;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/bireysel/finansmanlar/bayide-finansman;2026-08-24T13:36:01.938820;1.2.0;ihtiyac_finansmani;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;36;kural;0.918;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Şubeye gitmeden 7/24 başvuru yapabilme kolaylığı, alışveriş anında finansman kullanma fırsatı, kredi kartı limitini doldurmadan taksitle ödeme yapma imkânı;llm;0.7;;belirtilmemis;0.0;Anlaşmalı iş yerlerinde (eğitim, mobilya, elektronik, beyaz eşya, cep telefonu, bilgisayar, ev tekstil vb.) kullanılabilir. Albaraka Türk müşterisi olmasanız bile başvuru yapılabilir.;llm;0.7
0203-41f1dd30d4d2;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/dijital-katilma-hesabina-ozel-paylasim-oranlari-10;2026-08-24T13:37:12.784245;1.2.0;yatirim_urunu;llm;0.8;;belirtilmemis;0.0;yeni_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;2026-12-31;hibrit;0.962;Albaraka Mobil üzerinden görüntülü görüşme ile ilk kez müşteri olanların TL cinsinden Katılma Hesabı açması ve minimum 250 TL ile hesap açması gerekmektedir. Kampanya 1 Nisan - 31 Aralık 2026 tarihleri arasında geçerlidir. Hesap kâr paylaşım oranları kampanya süresi dolduğunda standart oranlara döner. Sadece gerçek kişiler için geçerlidir.;llm;0.7
0203-491e30743c7a;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/otopark-ve-vale-harcamalariniza-50-iade-albarakada-troy;2026-08-20T00:14:06.767505;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;300.0;kural;0.853;;belirtilmemis;0.0;;belirtilmemis;0.0;Albaraka Troy kredi kartı ile otopark ve vale harcamalarına %50 iade fırsatı, toplamda 300 TL'ye varan iade;llm;0.7;2026-08-31;hibrit;0.961;Kampanyaya katılım için Albaraka Mobil üzerinden 'Hemen Katıl' butonuna tıklanması gerekmektedir. Harcamanın '7523- Otomobil Park Yerleri ve Garajlar' MCC kod grubunda yapılması şarttır. Ödül, harcamayı takip eden ekstre döneminde tanımlanır. Kampanya sadece TROY kredi kartlarına özeldir. Yurt dışı harcamalar TL üzerinden ödüllendirilir. Toplam iade tutarı 300 TL ile sınırlıdır.;llm;0.7
0203-4a4c087b579a;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/albarakada-masraflara-son;2026-08-24T13:36:26.538421;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;True;hibrit;0.99;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;"Masrafsız bankacılık paketi kapsamında; hesap işletim ücreti alınmaması, EFT/Havale/FAST işlemlerinin ücretsiz olması, kart aidatı olmaması ve belirli ATM ağlarında ücretsiz işlem imkanı sunulması.";llm;0.7;2026-12-31;hibrit;0.968;Hesap işletim ücreti için hiçbir koşul aranmamaktadır. SWIFT işlemlerinde kısa (25 USD) ve uzun (40 USD) masraf ücreti alınmaktadır. Şubeden yapılan SWIFT işlemleri ücretsiz değildir. Para çekme ve yatırma limitleri günlük/aylık olarak belirlenmiştir.;llm;0.7
0203-4a707f368b3d;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/otopark-harcamalariniza-ozel-10-indirim-firsati-1;2026-08-24T13:39:11.512872;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;10.0;kural;0.877;;belirtilmemis;0.0;;belirtilmemis;0.0;2026-12-31;hibrit;0.965;Sadece Albaraka Özel Bankacılık Kredi Kartı sahipleri için geçerlidir. Otopark harcamalarında (MCC 7523) tek seferde 5.000 TL'ye kadar olan tutarlar için harcama tutarının %10'u iade edilir. Debit, sanal ve ek kartlar dahil değildir. İadeler her ayın 1-5'i arasında kart yüklenir. Yurt içi ve yurt dışı harcamalar dahildir.;llm;0.7
0203-4d72178b29ca;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/konaklamanin-ayricalikli-hali-1;2026-08-24T13:39:09.527006;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;2000.0;kural;0.851;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;2026-12-31;hibrit;0.965;Albaraka Özel Bankacılık Kredi Kartı sahipleri için geçerlidir. Yurt içi konaklama harcamalarında (MCC 7011, 7012) tek seferde 10.000-25.000 TL arası harcamada 1.000 TL, 25.000,01 TL ve üzeri harcamada 2.000 TL iade kazanılır. Aylık bazda geçerlidir, maksimum iade tutarı 2.000 TL'dir. Debit, sanal ve ek kartlar dahil değildir. İade harcamayı takip eden 5 iş günü içinde yüklenir. Yurt dışı harcamalar dahil değildir. Katılım otomatiktir.;llm;0.7
0203-4f7d60888988;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/yakinini-davet-et-kampanyasi;2026-08-24T13:37:10.754802;1.2.0;alisveris_puani;llm;0.8;;belirtilmemis;0.0;mevcut_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;5000.0;kural;0.832;"Mevcut müşterilerin davet ettikleri her yeni müşteri için 500 TL Worldpuan kazanması; toplamda 5.000 TL'ye varan ödül imkanı.";llm;0.7;2026-12-31;hibrit;0.968;Davet edenin World özellikli kredi kartı sahibi olması, davet edilenin görüntülü görüşme ile müşteri olması ve kodun 31 Aralık 2026'ya kadar kullanılması gerekmektedir. Bireysel müşterilere özeldir, tüzel müşteriler dahil değildir. Maksimum 10 kişi davet edilebilir.;llm;0.7
0203-4fbe01eb7c40;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/trend-kredi-kart-ile-sinema-harcamalarina-25-indirim;2026-08-24T13:39:01.428985;1.2.0;kart;llm;0.8;;belirtilmemis;0.0;mevcut_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;250.0;kural;0.851;25.0;kural;0.877;;belirtilmemis;0.0;;belirtilmemis;0.0;2026-12-31;hibrit;0.968;Sadece Trend kredi kartı sahipleri, fiziki harcamalar ve 7832 MCC kodlu sinema işyerleri için geçerlidir. Online harcamalar dahil değildir. Müşterilerin Albaraka Mobil üzerinden kampanyaya 'Katıl' butonu ile katılım sağlaması zorunludur. Aylık 2.000 kişi ile sınırlıdır ve kontenjan her ay yenilenir. Debit kartlar, sanal kartlar ve ek kartlar dahil değildir. İş yerinin sektör bilgisinin doğruluğu iş yerinin sorumluluğundadır. Banka şartlarda değişiklik yapma hakkını saklı tutar.;llm;0.7
0203-51f1c89481f1;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/ortak-atm-is-birlikleri;2026-08-20T00:13:13.916066;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;mevcut_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Yapı Kredi ve PTT ortak ATM'lerinde para çekme, para yatırma ve kredi kartı borç ödeme işlemlerinin komisyon ödemeden ücretsiz yapılması.;llm;0.7;;belirtilmemis;0.0;İşlemlerin Albaraka Türk banka kartı ile yapılması ve belirlenen günlük/aylık limitler dahilinde gerçekleştirilmesi gerekmektedir. Limit üzeri işlemler için standart komisyonlar uygulanır. Sadece ana hesap üzerinden işlem yapılabilir.;llm;0.7
0203-622885ec7ff9;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/kahve-keyfiniz-albarakadan-1;2026-08-20T00:14:47.841476;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Espressolab mağazalarında haftada bir kez hediye kahve (küçük boy aromasız kahveler, Türk kahvesi, çaylar) kazanma fırsatı.;llm;0.7;2026-08-31;hibrit;0.965;Kampanya sadece Espressolab'ın Türkiye mağazalarında geçerlidir. Yararlanabilmek için sadakat segmentinin Elmas ya da Platin olması gerekmektedir. Haftada bir kez faydalanılabilir. QR kodu Albaraka Mobil'den alınarak Espressolab uygulamasına girilmelidir.;llm;0.7
